구분,총계,2016년 이전,2017년,2018년,2019년,2020년
종로구,1729,1176,259,85,9,200
중 구,2001,987,462,228,194,130
용산구,2383,983,351,125,307,617
성동구,3515,1598,790,409,262,456
광진구,2556,529,675,465,712,175
동대문구,2315,1669,136,197,209,104
중랑구,3285,980,152,173,1050,930
성북구,3754,1484,461,860,716,233
강북구,2462,581,34,385,976,486
도봉구,1356,593,134,223,214,192
노원구,2282,1314,256,201,240,271
은평구,3660,1277,403,635,1057,288
서대문구,2939,1512,415,246,328,438
마포구,2401,1079,358,340,384,240
양천구,3307,2592,120,142,255,198
강서구,2437,859,506,259,457,356
구로구,4075,2198,540,488,434,415
금천구,2365,752,196,540,369,508
영등포구,3773,1526,311,658,65,1213
동작구,2262,1247,278,255,242,240
관악구,4909,2624,684,674,596,331
서초구,3730,1432,1061,436,361,440
강남구,6645,3170,1004,744,796,931
송파구,2743,666,241,542,1068,226
강동구,2547,927,273,377,356,614
